Energia,Ao_vivo,Tempo,Falado,Orgânico,Instrumental,Compasso,Dançabilidade,Tom,Duração,Força,Positividade,Modo,Tipo,Music_id,Playlist_name,Album_name,Artista,Music_name
"0,214","0,0936","87,019","0,153","0,832",0,4,"0,787",0,154471,"0,150747458859871","0,577",1,audio_features,6CxVJfI9RzzydEMqFGV5ho,Sad,Polaroid,Nanasai,Jóias Do Infinito
"0,357","0,108","120,159","0,0452","0,889",0,4,"0,693",8,130000,"0,175610306139779","0,284",0,audio_features,4rTR3utj3ZCRNozrF1ZdPw,Sad,kyoto,Magyn,kyoto
"0,0488","0,0955","101,001","0,0592","0,875",0,4,"0,807",8,128323,"0,0819030358899612","0,673",1,audio_features,7lWPgB93mBbRYAQvK3HJ1Q,Sad,Sem Você do Lado,Ana Olic,Sem Você do Lado
"0,274","0,108","110,757","0,0573","0,606","0,000733",4,"0,499",10,175000,"0,131144475340681","0,102",1,audio_features,10IhhMK2kwyTHIlAZD8rMw,Sad,A Música Mais Triste do Ano - Single,Luiz Lins,A Música Mais Triste do Ano
"0,271","0,0873","56,526","0,0497","0,698","0,00000385",4,"0,573",11,189027,"0,225761561366285","0,188",0,audio_features,11lbo1MtE3RqvxtWGypQeh,Sad,Camisa,"Eu, Trovador",Camisa
"0,562","0,0749","114,502","0,299","0,654","0,115",4,"0,466",11,182853,"0,248570737011709","0,575",0,audio_features,0V80Clj71ZonPOvkRoePpg,Sad,Eu Não Sei Sorrir,E4GL3,Eu Não Sei Sorrir
"0,294","0,102","159,492","0,108","0,874",0,4,"0,563",5,247117,"0,146150397200616","0,346",1,audio_features,2P8t3nvogPXseCmaqPLcs3,Sad,Falsos Sorrisos,Sadstation,Falsos Sorrisos
"0,324","0,299","95,914","0,0272","0,93","0,000375",4,"0,558",8,213925,"0,274726149993067","0,36",0,audio_features,1hlUTEzQbfC4BTE61aKEBX,Sad,Tuono Sobre Amores,Tuono,É difícil aceitar
"0,409","0,209","119,859","0,0968","0,767","0,011",4,"0,609",7,207888,"0,183252538750884","0,332",0,audio_features,12abvMaiTW6atL7AFOeCB9,Sad,Sturm Und Drang,Hillier,Nunca Mais
"0,362","0,11","129,744","0,0405","0,853","0,00000242",5,"0,456",4,172710,"0,404249973398618","0,315",0,audio_features,5V2OGxhs5J4Kl2Z1NvhC4n,Sad,Pico de Adrenalina,Konai,Pico de Adrenalina
